fill	x	y	showSelectedlegendfill	clickSelects	PANEL
#4DAF4A	-1.69106864766218	0.418936127239046	2	2	4
#984EA3	-0.970127125503495	0.726612014722272	3	3	4
#FF7F00	-1.11721623735502	0.657632372046278	4	4	4
#377EB8	1.43511423328891	0.172084833023998	1	1	4
#4DAF4A	-0.079481408931315	0.523600949835691	2	2	4
#984EA3	1.84920709999278	0	3	3	4
#FF7F00	0.488496210426092	0.50214094476427	4	4	4
#377EB8	1.58809254132211	0.366052762787398	1	1	4
#4DAF4A	2.95953047415242	0.127466916031758	2	2	4
#984EA3	-0.0998241028282791	0.456634750977235	3	3	4
#FF7F00	1.88722610659897	0.493971188058854	4	4	4
#377EB8	2.67352615552954	0.281447713585346	1	1	4
#4DAF4A	-0.93928739358671	0.625244872487139	2	2	4
#984EA3	1.25836883042939	0.374654745307814	3	3	4
#FF7F00	-1.37222452019341	0.790807362332666	4	4	4
#377EB8	-0.66389665636234	0.569237311591505	1	1	4
#4DAF4A	-0.069429537281394	0.985008188745642	2	2	4
#984EA3	-1.93304833420552	0.622834442501831	3	3	4
#FF7F00	-0.0880602146498859	0.450738471937287	4	4	4
#377EB8	2.34845422860235	0.197641501257129	1	1	4
#4DAF4A	-0.298255016561598	0.69090442137561	2	2	4
#984EA3	0.410400577355176	1	3	3	4
#FF7F00	0.997829127125442	0.67593320675765	4	4	4
#377EB8	0.467706535244361	0.727614408304534	1	1	4
#4DAF4A	-1.06891199294478	0.649009955577042	2	2	4
#984EA3	2.13686659303494	0.169740250355461	3	3	4
#FF7F00	1.34233369096182	0.213780793852683	4	4	4
#377EB8	1.9711993036326	0.334798092239611	1	1	4
#4DAF4A	-1.46028187056072	0.965751528287355	2	2	4
#984EA3	1.61855473020114	0.370079527830956	3	3	4
#FF7F00	0.0563721482176334	0.838116411942147	4	4	4
